0,1,2
0.7_0_16_1_0_5_0_4__250_3.keras,"[0.586868941783905, 0.51171875]","[0.586868941783905, 0.51171875]"
0.7_0_16_1_0_5_0_8_250_3.keras,"[0.5728476047515869, 0.42020201683044434]","[0.5728476047515869, 0.42020201683044434]"
0.7_0_16_1_0_5_1_4_250_3.keras,"[0.5389094948768616, 0.41806021332740784]","[0.5389094948768616, 0.41806021332740784]"
0.7_0_4_1_0_5_2_8_250_3.keras,"[0.6581534743309021, 0.6185566782951355]","[0.6581534743309021, 0.6185566782951355]"
0.7_0_4_2_0_5_1_8_250_3.keras,"[0.5580061674118042, 0.3777777850627899]","[0.5580061674118042, 0.3777777850627899]"
0.7_0_4_2_0_5_2_4_250_3.keras,"[0.5613583326339722, 0.4119170904159546]","[0.5613583326339722, 0.4119170904159546]"
0.7_0_4_3_0_5_0_4_250_3.keras,"[0.5639638900756836, 0.4112359583377838]","[0.5639638900756836, 0.4112359583377838]"
0.7_0_8_1_0_5_0_8_250_3.keras,"[0.5481431484222412, 0.33707866072654724]","[0.5481431484222412, 0.33707866072654724]"
0.7_0_8_1_0_5_1_8_250_3.keras,"[0.562141478061676, 0.46188339591026306]","[0.562141478061676, 0.46188339591026306]"
0.7_0_8_1_0_5_2_16_250_3.keras,"[1.9338406324386597, 0.3904109597206116]","[1.9338406324386597, 0.3904109597206116]"
0.7_0_8_1_0_5_2_4_250_3.keras,"[0.6150121092796326, 0.4307692348957062]","[0.6150121092796326, 0.4307692348957062]"
0.7_0_8_2_0_5_0_4_250_3.keras,"[0.563565194606781, 0.39904987812042236]","[0.563565194606781, 0.39904987812042236]"
0.7_0_8_2_0_5_1_8_250_3.keras,"[0.5929461121559143, 0.36538460850715637]","[0.5929461121559143, 0.36538460850715637]"
0.7_0_8_2_0_5_2_8_250_3.keras,"[0.7253054976463318, 0.43366336822509766]","[0.7253054976463318, 0.43366336822509766]"
0.7_0_8_3_0_5_0_8_250_3.keras,"[0.643938422203064, 0.434628963470459]","[0.643938422203064, 0.434628963470459]"
0.7_1_16_1_0_5_1_16_250_3.keras,"[0.6780881881713867, 0.3059360682964325]","[0.6780881881713867, 0.3059360682964325]"
0.7_1_32_1_0_5_3_32_250_3.keras,"[1.9450197219848633, 0.36456558108329773]","[1.9450197219848633, 0.36456558108329773]"
0.7_1_4_1_0_5_2_16_250_3.keras,"[0.582543134689331, 0.31060606241226196]","[0.582543134689331, 0.31060606241226196]"
0.7_1_4_1_0_5_2_32_250_3.keras,"[0.5885292291641235, 0.43798449635505676]","[0.5885292291641235, 0.43798449635505676]"
0.7_1_4_2_0_5_1_64_250_3.keras,"[0.5732793807983398, 0.4907975494861603]","[0.5732793807983398, 0.4907975494861603]"
0.7_1_4_2_0_5_1_8_250_3.keras,"[0.6916714906692505, 0.4642857015132904]","[0.6916714906692505, 0.4642857015132904]"
0.7_1_4_3_0_5_1_64_250_3.keras,"[0.7098869681358337, 0.380952388048172]","[0.7098869681358337, 0.380952388048172]"
