0,1
0.7_0_16_1_0_5_0_4_100_6.keras,"[0.5524124503135681, 0.5199999809265137]"
0.7_0_16_1_0_5_0_8_100_6.keras,"[0.5622159838676453, 0.38983049988746643]"
0.7_0_16_1_0_5_1_4_100_6.keras,"[0.5628980994224548, 0.39534884691238403]"
0.7_0_4_1_0_5_2_8_100_6.keras,"[0.5778017044067383, 0.6792452931404114]"
0.7_0_4_2_0_5_1_8_100_6.keras,"[0.5430106520652771, 0.5754716992378235]"
0.7_0_4_2_0_5_2_4_100_6.keras,"[0.565161406993866, 0.4357541799545288]"
0.7_0_4_3_0_5_0_4_100_6.keras,"[0.5622907876968384, 0.4123006761074066]"
0.7_0_8_1_0_5_0_8_100_6.keras,"[0.5319868326187134, 0.2631579041481018]"
0.7_0_8_1_0_5_1_8_100_6.keras,"[0.5647232532501221, 0.40816327929496765]"
0.7_0_8_1_0_5_2_16_100_6.keras,"[0.7688983678817749, 0.523809552192688]"
0.7_0_8_1_0_5_2_4_100_6.keras,"[0.5581057667732239, 0.39642858505249023]"
0.7_0_8_2_0_5_0_4_100_6.keras,"[0.563552975654602, 0.3946078419685364]"
0.7_0_8_2_0_5_1_8_100_6.keras,"[0.5407485961914062, 0.6333333253860474]"
0.7_0_8_2_0_5_2_8_100_6.keras,"[0.6278606057167053, 0.37636080384254456]"
0.7_0_8_3_0_5_0_8_100_6.keras,"[0.5340180993080139, 0.4795321524143219]"
0.7_1_16_1_0_5_1_16_100_6.keras,"[0.5761579275131226, 0.699999988079071]"
0.7_1_32_1_0_5_3_32_100_6.keras,"[0.8465135097503662, 0.43106797337532043]"
0.7_1_4_1_0_5_2_16_100_6.keras,"[0.5507074594497681, 0.6428571343421936]"
0.7_1_4_1_0_5_2_32_100_6.keras,"[0.5403145551681519, 0.5340909361839294]"
0.7_1_4_2_0_5_1_64_100_6.keras,"[0.5444929003715515, 0.6346153616905212]"
0.7_1_4_2_0_5_1_8_100_6.keras,"[0.5501902103424072, 0.5677965879440308]"
0.7_1_4_3_0_5_1_64_100_6.keras,"[0.6394314169883728, 0.4727272689342499]"
0.7_1_4_3_0_5_4_32_100_6.keras,"[0.7625014781951904, 0.4417475759983063]"
0.7_1_64_3_0_5_2_16_100_6.keras,"[2.292177438735962, 0.498516321182251]"
0.7_1_8_1_0_5_1_16_100_6.keras,"[0.538202166557312, 0.9230769276618958]"
0.7_1_8_1_0_5_1_4_100_6.keras,"[0.555650532245636, 0.8461538553237915]"
0.7_1_8_1_0_5_1_64_100_6.keras,"[0.5446957945823669, 0.9333333373069763]"
0.7_1_8_1_0_5_4_16_100_6.keras,"[0.6472291350364685, 0.39449542760849]"
0.7_1_8_2_0_5_1_32_100_6.keras,"[0.5966429114341736, 0.7027027010917664]"
0.7_1_8_2_0_5_1_8_100_6.keras,"[0.5369695425033569, 0.4303797483444214]"
0.7_1_8_2_0_5_3_4_100_6.keras,"[0.745330810546875, 0.3606557250022888]"
0.7_1_8_2_0_5_4_8_100_6.keras,"[0.9898495078086853, 0.45819398760795593]"
0.7_1_8_3_0_5_1_32_100_6.keras,"[0.5580238699913025, 0.5207100510597229]"
0.7_1_8_3_0_5_1_8_100_6.keras,"[0.6399844288825989, 0.5942028760910034]"
0.7_2_16_2_0_5_1_32_100_6.keras,"[0.9321650266647339, 0.4000000059604645]"
0.7_2_32_1_0_5_1_64_100_6.keras,"[0.6311110854148865, 0.4982698857784271]"
0.7_2_32_1_0_5_1_8_100_6.keras,"[0.816052258014679, 0.3888888955116272]"
0.7_2_4_2_0_5_1_8_100_6.keras,"[0.552964985370636, 0.37931033968925476]"
0.7_2_4_2_0_5_4_16_100_6.keras,"[0.5579008460044861, 0.5652173757553101]"
0.7_2_4_3_0_5_2_4_100_6.keras,"[0.5861179232597351, 0.13235294818878174]"
0.7_2_4_3_0_5_4_8_100_6.keras,"[0.5761542916297913, 0.36206895112991333]"
0.7_2_8_1_0_5_1_32_100_6.keras,"[0.5407784581184387, 0.9473684430122375]"
0.7_2_8_1_0_5_1_8_100_6.keras,"[0.5437700152397156, 0.3762376308441162]"
0.7_2_8_3_0_5_2_4_100_6.keras,"[0.6746633052825928, 0.3601895868778229]"
0.7_2_8_3_0_5_2_8_100_6.keras,"[0.6326723694801331, 0.2083333283662796]"
0.7_2_8_3_0_5_3_64_100_6.keras,"[1.531466007232666, 0.38429173827171326]"
0.7_3_16_1_0_5_1_32_150_6.keras,"[0.6956667304039001, 0.49180328845977783]"
0.7_3_8_1_0_5_3_64_150_6.keras,"[1.102181077003479, 0.37634408473968506]"
0.7_3_8_2_0_5_1_4_150_6.keras,"[0.7477254271507263, 0.6829268336296082]"
0.7_3_8_2_0_5_3_64_150_6.keras,"[0.741308331489563, 0.44811320304870605]"
0.7_3_8_2_0_5_4_64_150_6.keras,"[0.7708873748779297, 0.42990654706954956]"
0.7_3_8_3_0_5_1_8_150_6.keras,"[0.6459937691688538, 0.4199134111404419]"
0.7_3_8_3_0_5_3_16_150_6.keras,"[0.6768673658370972, 0.4754098355770111]"
0.7_3_8_3_0_5_4_64_150_6.keras,"[0.9280954003334045, 0.3927813172340393]"
