0,1,2
0.7_0_16_1_0_5_0_4_100_6.keras,"[0.5091322660446167, 0.49484536051750183]","[0.5107106566429138, 0.692307710647583]"
0.7_0_16_1_0_5_0_8_100_6.keras,"[0.514030933380127, 0.4121621549129486]","[0.5026739835739136, 0.6388888955116272]"
0.7_0_16_1_0_5_1_4_100_6.keras,"[0.5197675824165344, 0.34246575832366943]","[0.5118994116783142, 0.6000000238418579]"
0.7_0_4_1_0_5_2_8_100_6.keras,"[0.4764251708984375, 0.6871165633201599]","[0.5228092074394226, 0.6818181872367859]"
0.7_0_4_2_0_5_1_8_100_6.keras,"[0.4988906979560852, 0.5194805264472961]","[0.49410611391067505, 0.6323529481887817]"
0.7_0_4_2_0_5_2_4_100_6.keras,"[0.5125967860221863, 0.4861111044883728]","[0.5065606236457825, 0.6309523582458496]"
0.7_0_4_3_0_5_0_4_100_6.keras,"[0.5118677616119385, 0.4810126721858978]","[0.5044028759002686, 0.6067415475845337]"
0.7_0_8_1_0_5_0_8_100_6.keras,"[0.4917008876800537, 0.6511628031730652]","[0.49925124645233154, 0.6000000238418579]"
0.7_0_8_1_0_5_1_8_100_6.keras,"[0.5152731537818909, 0.4060606062412262]","[0.5028507709503174, 0.6136363744735718]"
0.7_0_8_1_0_5_2_16_100_6.keras,"[0.41968077421188354, 0.7719298005104065]","[0.7879988551139832, 0.7083333134651184]"
0.7_0_8_1_0_5_2_4_100_6.keras,"[0.4807778596878052, 0.6455696225166321]","[0.5490232110023499, 0.6428571343421936]"
0.7_0_8_2_0_5_0_4_100_6.keras,"[0.5218257904052734, 0.3442623019218445]","[0.5145572423934937, 0.625]"
0.7_0_8_2_0_5_1_8_100_6.keras,"[0.5076702237129211, 0.4794520437717438]","[0.5009874701499939, 0.800000011920929]"
0.7_0_8_2_0_5_2_8_100_6.keras,"[0.46983715891838074, 0.6538461446762085]","[0.7081249952316284, 0.6538461446762085]"
0.7_0_8_3_0_5_0_8_100_6.keras,"[0.49545153975486755, 0.46341463923454285]","[0.5334771871566772, 0.6052631735801697]"
0.7_1_16_1_0_5_1_16_100_6.keras,"[0.49819931387901306, 0.6142857074737549]","[0.5067005157470703, 0.6363636255264282]"
0.7_1_32_1_0_5_3_32_100_6.keras,"[0.3260461986064911, 0.7813884615898132]","[1.0221364498138428, 0.6309523582458496]"
0.7_1_4_1_0_5_2_16_100_6.keras,"[0.5052599310874939, 0.4117647111415863]","[0.5020943284034729, 0.699999988079071]"
0.7_1_4_1_0_5_2_32_100_6.keras,"[0.5047249794006348, 0.7250000238418579]","[0.5058982968330383, 0.6354166865348816]"
0.7_1_4_2_0_5_1_64_100_6.keras,"[0.5185150504112244, 0.6304348111152649]","[0.5066391825675964, 0.6176470518112183]"
0.7_1_4_2_0_5_1_8_100_6.keras,"[0.5166943073272705, 0.6000000238418579]","[0.50704425573349, 0.7027027010917664]"
0.7_1_4_3_0_5_1_64_100_6.keras,"[0.4867675304412842, 0.5901060104370117]","[0.5103781223297119, 0.6043956279754639]"
