0,1,2
0.7_0_16_1_0_5_0_16_100_6.keras,"[0.48010531067848206, 0.60317462682724]","[0.5547842383384705, 0.4113923907279968]"
0.7_0_16_1_0_5_0_32_100_6.keras,"[0.4795399308204651, 0.6256157755851746]","[0.5357895493507385, 0.5360824465751648]"
0.7_0_16_1_0_5_0_4_100_6.keras,"[0.5091322660446167, 0.49484536051750183]","[0.5107106566429138, 0.692307710647583]"
0.7_0_16_1_0_5_0_64_100_6.keras,"[0.4511948525905609, 0.6181818246841431]","[0.5919901728630066, 0.4761904776096344]"
0.7_0_16_1_0_5_0_8_100_6.keras,"[0.514030933380127, 0.4121621549129486]","[0.5026739835739136, 0.6388888955116272]"
0.7_0_16_1_0_5_1_16_100_6.keras,"[0.47830548882484436, 0.5973451137542725]","[0.5207352042198181, 0.483146071434021]"
0.7_0_16_1_0_5_1_32_100_6.keras,"[0.482511043548584, 0.6747967600822449]","[0.542375385761261, 0.529411792755127]"
0.7_0_16_1_0_5_1_4_100_6.keras,"[0.5197675824165344, 0.34246575832366943]","[0.5118994116783142, 0.6000000238418579]"
0.7_0_16_1_0_5_1_64_100_6.keras,"[0.4507524073123932, 0.6648793816566467]","[0.5952979922294617, 0.4475138187408447]"
0.7_0_16_1_0_5_1_8_100_6.keras,"[0.5027191638946533, 0.5067567825317383]","[0.5266220569610596, 0.4196891188621521]"
0.7_0_16_1_0_5_2_4_100_6.keras,"[0.5047669410705566, 0.0]","[0.5238747596740723, 0.0]"
0.7_0_16_1_0_5_2_8_100_6.keras,"[0.46564367413520813, 0.6644737124443054]","[0.5282647013664246, 0.462184876203537]"
0.7_0_4_1_0_5_0_16_100_6.keras,"[0.4863802492618561, 0.5845588445663452]","[0.5419591069221497, 0.4492753744125366]"
0.7_0_4_1_0_5_0_32_100_6.keras,"[0.4806565046310425, 0.5734870433807373]","[0.5377171635627747, 0.5454545617103577]"
0.7_0_4_1_0_5_0_4_100_6.keras,"[0.5080354809761047, 0.5324675440788269]","[0.5032968521118164, 0.44871795177459717]"
0.7_0_4_1_0_5_0_64_100_6.keras,"[0.4543912708759308, 0.655086874961853]","[0.5577232241630554, 0.44748857617378235]"
0.7_0_4_1_0_5_0_8_100_6.keras,"[0.5022335052490234, 0.6216216087341309]","[0.5212387442588806, 0.4513888955116272]"
0.7_0_4_1_0_5_1_16_100_6.keras,"[0.48693057894706726, 0.5921568870544434]","[0.5509601831436157, 0.4658385217189789]"
0.7_0_4_1_0_5_1_32_100_6.keras,"[0.47894006967544556, 0.5720430016517639]","[0.6257104277610779, 0.39482200145721436]"
0.7_0_4_1_0_5_1_4_100_6.keras,"[0.505872368812561, 0.5833333134651184]","[0.5372268557548523, 0.4054054021835327]"
0.7_0_4_1_0_5_1_64_100_6.keras,"[0.45340535044670105, 0.6520737409591675]","[0.5642609596252441, 0.4792899489402771]"
0.7_0_4_1_0_5_1_8_100_6.keras,"[0.5017690062522888, 0.5933333039283752]","[0.5448257327079773, 0.43455496430397034]"
0.7_0_4_1_0_5_2_16_100_6.keras,"[0.4593764543533325, 0.6948052048683167]","[0.5462299585342407, 0.44144144654273987]"
0.7_0_4_1_0_5_2_32_100_6.keras,"[0.4163528382778168, 0.6181818246841431]","[1.0946608781814575, 0.4166666567325592]"
0.7_0_4_1_0_5_2_4_100_6.keras,"[0.49516618251800537, 0.5699999928474426]","[0.501146137714386, 0.5405405163764954]"
0.7_0_4_1_0_5_2_64_100_6.keras,"[0.317701131105423, 0.75]","[1.0968077182769775, 0.3753943145275116]"
0.7_0_4_1_0_5_2_8_100_6.keras,"[0.4764251708984375, 0.6871165633201599]","[0.5228092074394226, 0.6818181872367859]"
0.7_0_4_1_0_5_3_16_100_6.keras,"[0.3836696147918701, 0.7604562640190125]","[0.7303249835968018, 0.4862385392189026]"
0.7_0_4_1_0_5_3_32_100_6.keras,"[0.3599981963634491, 0.8154425621032715]","[1.0171390771865845, 0.39170506596565247]"
