datetime,close,high,low,open,vol,obv,rsi,atr,macd
2024-04-12 15:55:00,510.82001,510.92999,510.12000,510.26001,5332684,-57343500.00000,55.43500,0.69841,-0.09859
2024-04-12 15:50:00,510.25989,510.89999,509.88101,510.73001,3140158,-62676184.00000,50.31709,0.68982,-0.17449
2024-04-12 15:45:00,510.72000,510.87000,510.32001,510.48999,1962457,-59536026.00000,55.14799,0.66450,-0.21179
2024-04-12 15:40:00,510.48999,510.51999,509.29999,509.29999,1866141,-61498483.00000,53.05584,0.67331,-0.30317
2024-04-12 15:35:00,509.29001,509.92499,509.26001,509.91000,1107720,-63364624.00000,39.35090,0.63049,-0.39197
2024-04-12 15:30:00,509.91000,510.16000,509.39999,509.49500,974641,-62256904.00000,45.76023,0.62784,-0.37743
2024-04-12 15:25:00,509.50500,510.07999,509.45999,509.85501,802973,-63231545.00000,39.81412,0.61767,-0.41651
2024-04-12 15:20:00,509.84500,509.97000,509.51001,509.59000,811276,-62428572.00000,43.53448,0.61749,-0.41910
2024-04-12 15:15:00,509.59930,509.82001,509.07999,509.34000,990325,-63239848.00000,39.75706,0.62961,-0.45092
2024-04-12 15:10:00,509.32001,509.78000,509.31000,509.56000,659912,-64230173.00000,35.17983,0.62112,-0.45997
2024-04-12 15:05:00,509.55499,509.92999,509.32999,509.68500,776045,-63570261.00000,37.39985,0.63274,-0.43638
2024-04-12 15:00:00,509.68500,509.79681,509.22000,509.62000,881089,-62794216.00000,38.65293,0.63526,-0.42386
2024-04-12 14:55:00,509.62500,510.29001,509.56000,510.16989,822080,-63675305.00000,37.75927,0.63975,-0.41494
2024-04-12 14:50:00,510.17001,510.38000,509.81000,509.82999,544986,-62853225.00000,43.04897,0.63281,-0.39142
2024-04-12 14:45:00,509.81851,510.17001,509.72101,509.95001,497436,-63398211.00000,37.83342,0.63764,-0.41120
2024-04-12 14:40:00,509.94501,510.45001,509.64001,509.83499,1043296,-62900775.00000,39.02778,0.65215,-0.39467
2024-04-12 14:35:00,509.82999,510.42001,509.76001,510.23999,741561,-63944071.00000,37.35807,0.64001,-0.38071
2024-04-12 14:30:00,510.25000,510.73999,510.01001,510.67999,844508,-63202510.00000,41.18209,0.63847,-0.34565
2024-04-12 14:25:00,510.67001,510.73001,510.29001,510.59500,841183,-62358002.00000,45.50758,0.63143,-0.33863
2024-04-12 14:20:00,510.59030,511.19000,510.57999,510.98801,60634297,-63199185.00000,44.47991,0.64616,-0.36751
2024-04-12 14:15:00,510.97079,511.32999,510.78000,510.85999,594253,-2564888.00000,48.53714,0.64894,-0.39092
2024-04-12 14:10:00,510.85999,511.41501,510.79001,511.17999,840957,-3159141.00000,47.23562,0.65655,-0.45384
2024-04-12 14:05:00,511.18060,511.39999,510.34000,510.39999,806434,-2318184.00000,50.67923,0.65898,-0.51628
2024-04-12 14:00:00,510.41000,510.48999,509.95999,510.48999,728588,-3124618.00000,41.09512,0.62813,-0.62110
2024-04-12 13:55:00,510.48999,510.97000,510.45999,510.60001,613332,-2396030.00000,41.87950,0.63568,-0.66740
2024-04-12 13:50:00,510.59000,511.25000,510.50000,510.92999,768199,-1782698.00000,42.82856,0.64535,-0.72493
2024-04-12 13:45:00,510.90500,511.16501,510.28000,510.31000,1175001,-1014499.00000,45.86885,0.63730,-0.79800
2024-04-12 13:40:00,510.30499,510.53000,509.60001,509.62000,1185583,-2189500.00000,38.09648,0.61824,-0.91172
2024-04-12 13:35:00,509.63000,509.67999,509.33499,509.45499,660468,-3375083.00000,27.17322,0.59426,-0.98252
2024-04-12 13:30:00,509.45999,509.69501,509.32001,509.69000,804320,-4035551.00000,24.03824,0.61344,-0.98988
2024-04-12 13:25:00,509.70001,510.06000,509.47000,509.82001,894643,-3231231.00000,25.47589,0.63139,-0.96755
2024-04-12 13:20:00,509.81500,510.45001,509.75000,510.42999,1118228,-2336588.00000,26.17223,0.63458,-0.94942
2024-04-12 13:15:00,510.44000,511.09000,510.39999,510.56000,1338987,-1218360.00000,30.36048,0.62954,-0.92418
2024-04-12 13:10:00,510.56979,510.72000,510.26001,510.26001,679875,120627.00000,31.32719,0.62489,-0.94216
2024-04-12 13:05:00,510.28000,510.76999,510.03000,510.42999,954178,-559248.00000,26.47328,0.63758,-0.96461
2024-04-12 13:00:00,510.42499,510.82001,510.17999,510.57999,1336538,394930.00000,27.37210,0.62970,-0.94974
2024-04-12 12:55:00,510.57001,510.98001,510.56000,510.79001,821075,1731468.00000,28.26335,0.62890,-0.93170
2024-04-12 12:50:00,510.85001,511.07501,510.56000,510.56000,1081680,2552543.00000,30.01553,0.64497,-0.90989
2024-04-12 12:45:00,510.56000,510.98999,510.48999,510.69000,1386568,1470863.00000,25.57815,0.65497,-0.89732
2024-04-12 12:40:00,510.69000,511.07010,510.62000,510.92990,1029424,2857431.00000,26.27153,0.66689,-0.83870
2024-04-12 12:35:00,510.92499,511.70999,510.57001,511.59000,1571576,3886855.00000,27.52384,0.68357,-0.76493
2024-04-12 12:30:00,511.59000,512.02002,511.26999,511.79999,950181,5458431.00000,31.46533,0.64846,-0.68356
2024-04-12 12:25:00,511.82001,512.54999,511.76001,512.33002,956558,6408612.00000,32.98227,0.64064,-0.63747
2024-04-12 12:20:00,512.32001,512.49329,511.84000,511.85001,915428,7365170.00000,36.53790,0.62916,-0.59279
2024-04-12 12:15:00,511.85001,512.83789,511.79001,512.64001,997226,6449742.00000,29.94596,0.62730,-0.57805
2024-04-12 12:10:00,512.64001,513.22998,512.64001,513.16998,611145,7446968.00000,35.74032,0.59495,-0.50297
