datetime,close,open,high,low,vol,obv,rsi,atr,macd
2022-10-03 06:50:00,351.5290,351.8250,351.9290,351.2910,30481,-4260.0000,60.7529,0.4334,0.3002
2022-10-03 06:55:00,352.0880,351.5700,352.1840,351.4870,22047,17787.0000,66.4707,0.4522,0.3090
2022-10-03 07:00:00,351.9710,352.1090,352.2040,351.7020,37935,-20148.0000,64.3573,0.4557,0.3554
2022-10-03 07:05:00,351.9120,351.9430,352.1650,351.8200,44122,-64270.0000,63.2650,0.4478,0.3745
2022-10-03 07:10:00,352.1860,351.9620,352.2430,351.7610,30151,-34119.0000,66.1393,0.4503,0.3867
2022-10-03 07:15:00,352.0490,352.0900,352.3410,352.0260,32987,-67106.0000,63.4654,0.4406,0.4021
2022-10-03 07:20:00,351.9510,352.0510,352.1060,351.8200,41580,-108686.0000,61.5485,0.4296,0.4064
2022-10-03 07:25:00,352.1470,352.0800,352.2040,351.9080,86402,-22284.0000,63.8971,0.4200,0.4075
2022-10-03 07:30:00,352.0980,352.0510,352.3410,351.9280,25526,-47810.0000,62.8634,0.4195,0.4014
2022-10-03 07:35:00,352.3430,352.1880,352.5960,352.0950,67544,19734.0000,65.8393,0.4253,0.4029
2022-10-03 07:40:00,352.3040,352.4330,352.5280,352.2710,22593,-2859.0000,64.9471,0.4133,0.4191
2022-10-03 07:45:00,352.0100,352.3350,352.5470,351.9770,58120,-60979.0000,58.5101,0.4245,0.4192
2022-10-03 07:50:00,352.0780,352.0410,352.1450,351.8000,29907,-31072.0000,59.5097,0.4188,0.3910
2022-10-03 07:55:00,352.9220,352.0900,352.9790,351.9970,65736,34664.0000,69.3726,0.4591,0.3684
2022-10-03 08:00:00,352.9900,351.9920,353.3810,349.7320,147074,181738.0000,70.0066,0.6869,0.3387
2022-10-03 08:05:00,352.9710,353.0410,353.1360,352.7420,39421,142317.0000,69.5732,0.6660,0.3952
2022-10-03 08:10:00,352.6760,352.9620,352.9790,352.4960,20939,121378.0000,63.0482,0.6529,0.4287
2022-10-03 08:15:00,352.5390,352.7170,352.8900,352.4180,32666,88712.0000,60.2234,0.6400,0.4305
2022-10-03 08:20:00,353.0290,352.5800,353.0860,352.4670,38040,126752.0000,66.0776,0.6385,0.4161
2022-10-03 08:25:00,353.0100,353.0110,353.1260,352.9470,12095,114657.0000,65.6739,0.6057,0.4344
2022-10-03 08:30:00,353.5200,352.9720,353.7730,352.8100,95873,210530.0000,70.8253,0.6312,0.4407
2022-10-03 08:35:00,353.3430,353.5800,353.5960,353.1920,42469,168061.0000,67.0637,0.6150,0.4891
2022-10-03 08:40:00,353.6570,353.3640,353.8510,353.2610,60936,228997.0000,70.0978,0.6132,0.5043
2022-10-03 08:45:00,354.2060,353.7570,354.3020,353.6240,103462,332459.0000,74.5178,0.6178,0.5417
2022-10-03 08:50:00,354.1270,354.2170,354.6060,354.0940,156635,175824.0000,72.8491,0.6103,0.6016
2022-10-03 08:55:00,354.0200,354.2370,354.2830,353.9770,50331,125493.0000,70.5448,0.5885,0.6433
2022-10-03 09:00:00,354.2550,354.0610,354.3120,353.9570,46651,172144.0000,72.5951,0.5718,0.6545
2022-10-03 09:05:00,354.3040,354.2470,354.4790,354.0450,81833,253977.0000,73.0168,0.5620,0.6707
2022-10-03 09:10:00,354.6470,354.3450,354.7630,354.1830,110310,364287.0000,75.8218,0.5633,0.6836
2022-10-03 09:15:00,354.7350,354.6880,354.9490,354.4180,141093,505380.0000,76.4968,0.5610,0.7132
2022-10-03 09:20:00,354.4020,354.7860,354.8320,354.3790,78671,426709.0000,68.6823,0.5533,0.7361
2022-10-03 09:25:00,354.0290,354.4430,354.4590,353.9870,71963,354746.0000,61.1474,0.5475,0.7184
2022-10-03 09:30:00,353.3920,354.0310,354.4100,353.0360,1583358,-1228612.0000,50.8812,0.6065,0.6634
2022-10-03 09:35:00,352.6270,353.3940,353.5080,352.5850,1173911,-2402523.0000,41.8039,0.6291,0.5619
2022-10-03 09:40:00,353.4410,352.7070,353.5470,352.1340,1099864,-1302659.0000,51.6817,0.6851,0.4212
2022-10-03 09:45:00,354.2450,353.4530,354.5870,353.3000,1411667,109008.0000,59.0711,0.7281,0.3657
2022-10-03 09:50:00,353.7740,354.2960,354.3710,353.3100,1028965,-919957.0000,53.8733,0.7519,0.3853
2022-10-03 09:55:00,353.5690,353.8060,354.0380,352.9960,1167341,-2087298.0000,51.7393,0.7726,0.3571
2022-10-03 10:00:00,355.3820,353.5600,355.8910,353.4770,1954922,-132376.0000,64.9589,0.8898,0.3114
2022-10-03 10:05:00,356.2110,355.4230,356.5870,355.3540,1233171,1100795.0000,69.1237,0.9143,0.4206
2022-10-03 10:10:00,356.0290,356.2180,356.4300,355.8590,818990,281805.0000,67.2343,0.8898,0.5648
2022-10-03 10:15:00,356.3150,356.0610,356.6360,355.8000,795399,1077204.0000,68.6829,0.8860,0.6588
2022-10-03 10:20:00,357.0640,356.3500,357.1260,356.2220,690757,1767961.0000,72.1548,0.8873,0.7480
2022-10-03 10:25:00,357.1870,357.1100,357.7150,356.8780,1080205,2848166.0000,72.6903,0.8837,0.8700
2022-10-03 10:30:00,357.2550,357.2670,357.5770,357.0060,910938,3759104.0000,72.9994,0.8613,0.9682
2022-10-03 10:35:00,357.0480,357.2960,357.4990,356.7220,909848,2849256.0000,70.3875,0.8553,1.0364
2022-10-03 10:40:00,357.2350,357.0800,357.3620,356.6920,589184,3438440.0000,71.3836,0.8421,1.0608
2022-10-03 10:45:00,357.6860,357.2860,357.8420,357.2020,919521,4357961.0000,73.6829,0.8276,1.0843
2022-10-03 10:50:00,357.5190,357.7370,357.7530,357.2510,592525,3765436.0000,71.3954,0.8044,1.1263
2022-10-03 10:55:00,357.1670,357.5710,357.8420,357.1140,877056,2888380.0000,66.6953,0.7989,1.1331
2022-10-03 11:00:00,357.0590,357.1990,357.4400,356.9180,880289,2008091.0000,65.2754,0.7791,1.0959
2022-10-03 11:05:00,357.9120,357.1100,357.9990,356.9180,814780,2822871.0000,70.5992,0.8007,1.0471
2022-10-03 11:10:00,357.8480,357.9810,358.3320,357.5450,682759,2140112.0000,69.7353,0.7997,1.0665
2022-10-03 11:15:00,357.6960,357.8940,358.1750,357.5840,570285,1569827.0000,67.6191,0.7848,1.0625
2022-10-03 11:20:00,357.7940,357.7280,357.8710,357.4570,595854,2165681.0000,68.2873,0.7583,1.0341
2022-10-03 11:25:00,357.7550,357.8450,357.9200,357.4080,565921,1599760.0000,67.6886,0.7407,1.0094
2022-10-03 11:30:00,357.6570,357.8010,358.0770,357.5060,691987,907773.0000,66.1200,0.7286,0.9750
2022-10-03 11:35:00,357.1620,357.6780,357.7340,356.8000,803932,103841.0000,58.7183,0.7433,0.9271
2022-10-03 11:40:00,356.6750,357.2030,357.2540,356.5060,570866,-467025.0000,52.4924,0.7436,0.8411
2022-10-03 11:45:00,357.0100,356.7180,357.1260,356.4860,441949,-25076.0000,55.9522,0.7362,0.7255
2022-10-03 11:50:00,356.8140,357.0220,357.2640,356.7900,452244,-477320.0000,53.4974,0.7175,0.6509
2022-10-03 11:55:00,356.6270,356.8550,356.9990,356.2800,570864,-1048184.0000,51.1898,0.7176,0.5717
2022-10-03 12:00:00,357.1370,356.6780,357.2790,356.5650,424663,-623521.0000,56.6782,0.7173,0.4891
2022-10-03 12:05:00,357.5790,357.1590,357.6660,356.8980,563529,-59992.0000,60.7929,0.7210,0.4571
2022-10-03 12:10:00,357.4510,357.6200,357.8620,357.3880,354884,-414876.0000,59.0439,0.7033,0.4636
2022-10-03 12:15:00,357.2630,357.4730,357.5770,357.0350,364105,-778981.0000,56.4741,0.6918,0.4517
2022-10-03 12:20:00,357.2840,357.3060,357.3960,356.6770,524489,-254492.0000,56.7008,0.6937,0.4239
2022-10-03 12:25:00,356.5880,357.3260,357.5670,356.5010,485503,-739995.0000,47.8124,0.7203,0.3989
2022-10-03 12:30:00,356.9610,356.6290,357.0670,356.2410,564802,-175193.0000,52.1422,0.7279,0.3191
2022-10-03 12:35:00,356.9900,356.9970,357.1020,356.4910,367311,192118.0000,52.4724,0.7195,0.2824
2022-10-03 12:40:00,356.9700,357.0260,357.1850,356.7020,244780,-52662.0000,52.2049,0.7026,0.2527
2022-10-03 12:45:00,356.8630,357.0310,357.1410,356.7020,402979,-455641.0000,50.7154,0.6838,0.2269
2022-10-03 12:50:00,356.6860,356.8940,356.9940,356.2900,459933,-915574.0000,48.2623,0.6852,0.1932
2022-10-03 12:55:00,357.1370,356.7080,357.2140,356.4490,358090,-557484.0000,54.3247,0.6909,0.1498
2022-10-03 13:00:00,357.2160,357.1780,357.4600,356.9960,515071,-42413.0000,55.3125,0.6747,0.1515
2022-10-03 13:05:00,357.6860,357.2670,357.8030,357.0350,420969,378556.0000,60.7508,0.6814,0.1583
